descrip_vc;fec_lim;fec_pago;moneda;nemo;num_acc_ant;num_acc_der;num_acc_nue;pre_ant_vc;pre_ex_vc;val_acc
REMANENTE EMISION DE PAGO $ 5,75;2021-03-12;2022-08-14;;ENJOY;4694959928;0;0;0;0;5.75
EMIS PAGO INF 0,2879376464 X 1 $ 160;2020-07-13;2022-02-20;;SECURITY;3924441136;0;0;0;0;160
DIVIDENDO PROV US$ 0,9;2021-09-14;2021-10-12;US$;MO;0;100000;0;0;0;0.9
DIVIDENDO US$ 0,65;2021-09-14;2021-10-07;US$;MRK;0;100000;0;0;0;0.65
DIVIDENDO PROV US$ 0,1938;2021-09-07;2021-10-06;US$;HPQ;0;100000;0;0;0;0.194
DIVIDENDO US$ 0,48;2021-09-14;2021-10-05;US$;CPK;0;150000;0;0;0;0.48
DIVIDENDO US$ 0,275;2021-08-27;2021-10-01;US$;NKE;0;100000;0;0;0;0.275
DIVIDENDO PROV US$ 0,93;2021-09-09;2021-10-01;US$;ADP;0;100000;0;0;0;0.93
DIVIDENDO PROV US$ 0,42;2021-09-14;2021-10-01;US$;KO;0;100000;0;0;0;0.42
DIVIDENDO US$ 1,075;2021-09-02;2021-09-30;US$;PEP;0;100000;0;0;0;1.075
DIVIDENDO PROV US$ 0,88;2021-09-09;2021-09-30;US$;TRV;0;100000;0;0;0;0.88
DIVIDENDO PROV US$ 1,07;2021-08-30;2021-09-30;US$;UNP;0;100000;0;0;0;1.07
DIVIDENDO US$ 0,32;2021-09-15;2021-09-30;US$;AIG;0;100000;0;0;0;0.32
DIVIDENDO PROV US$ 0,71;2021-09-14;2021-09-29;US$;GILD;0;100000;0;0;0;0.71
REPARTO CAPITAL $ 6,242917401;2021-09-16;;;CFIACCIA-E;0;0;0;0;0;0
REPARTO CAPITAL $ 6,242903831;2021-09-16;;;CFIACCIP-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,01247551;2021-09-16;;;CFIPICWP-E;0;0;0;0;0;0
REPARTO CAPITAL $ 444,187352177;2021-09-16;;;CFICPIIB-E;0;0;0;0;0;0
REPARTO CAPITAL $ 426,012154155;2021-09-16;;;CFICPIIR-E;0;0;0;0;0;0
DIVIDENDO US$ 0,21;2021-09-02;2021-09-24;US$;BAC;0;100000;0;0;0;0.21
DIVIDENDO PROV $ 5,541997764;2021-09-16;2021-09-24;$;CFIACCIP-E;0;5797142;0;0;0;5.542
DIVIDENDO PROV $ 7,283767733;2021-09-16;2021-09-24;$;CFIACCIA-E;0;26832487;0;0;0;7.284
DIVIDENDO PROV 155 $ 16,4;2021-09-16;2021-09-24;$;BOLSASTGO;0;48000000;0;0;0;16.4
REPARTO CAPITAL $ 25;2021-09-15;;;CFIADAG-A;10000000;0;10000000;131.2;131.2;0
REPARTO CAPITAL US$ 0,0152088652;2021-09-15;;;CFIPE18A-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0152090451;2021-09-15;;;CFIPE18B-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0152090469;2021-09-15;;;CFIPE18C-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,006916667;2021-09-15;;;CFIMFUS-E;10000000;0;10000000;750.69;750.69;0
REPARTO CAPITAL EURO 0,05460650402380540;2021-09-15;;;CFIAPEVIII;1000000;0;1000000;0;0;0
DIVIDENDO US$ 0,68;2021-09-01;2021-09-23;US$;QCOM;0;100000;0;0;0;0.68
DIVIDENDO US$ 0,55;2021-09-08;2021-09-23;US$;NEM;0;100000;0;0;0;0.55
DIVIDENDO PROV $ 151,98137362637400;2021-09-15;2021-09-23;$;CFIALHDA-E;0;291200;0;0;0;151.981
DIVIDENDO PROV $ 154,36635180151100;2021-09-15;2021-09-23;$;CFIALHDB-E;0;306798;0;0;0;154.366
DIVIDENDO PROV US$ 0,00559296200;2021-09-15;2021-09-23;US$;CFILVDAS-E;0;5000000;0;0;0;0.006
DIVIDENDO PROV US$ 0,009396007581965930;2021-09-15;2021-09-23;US$;CFILVEPI-E;0;5435002;0;0;0;0.009
DIVIDENDO PROV US$ 0,009041737335004790;2021-09-15;2021-09-23;US$;CFILVEPR-E;0;5858352;0;0;0;0.009
DIVIDENDO PROV US$ 0,0054126841518931100;2021-09-15;2021-09-23;US$;CFILVDAF-E;0;6910939;0;0;0;0.005
DIVIDENDO PROV US$ 0,008852420763608190;2021-09-15;2021-09-23;US$;CFILVEPF-E;0;7208304;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088859381;2021-09-15;2021-09-23;US$;CFIPE18C-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088859348;2021-09-15;2021-09-23;US$;CFIPE18B-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0088858348;2021-09-15;2021-09-23;US$;CFIPE18A-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV US$ 0,0054774756647230800;2021-09-15;2021-09-23;US$;CFILVDAR-E;0;13358796;0;0;0;0.005
DIVIDENDO PROV US$ 0,0055766537916833200;2021-09-15;2021-09-23;US$;CFILVDAI-E;0;25328447;0;0;0;0.006
DIVIDENDO PROV US$ 0,00946836997098830;2021-09-15;2021-09-23;US$;CFILVEPS-E;0;31820268;0;0;0;0.009
DIVIDENDO PROV EURO 0,05282276276439500;2021-09-15;2021-09-23;EURO;CFIAPEVIII;0;36317487;0;0;0;0.053
DIVIDENDO PROV $ 0,825712300028172;2021-09-15;2021-09-23;$;CFIADAG-A;0;43680120;0;0;0;0.826
DIVIDENDO PROV $ 80;2021-09-15;2021-09-23;$;LIPIGAS;0;113574515;0;0;0;80
DIVIDENDO EVEN 45 $ 116;2021-09-15;2021-09-23;$;FORUS;0;258469000;0;0;0;116
DIVIDENDO PROV $ 0,014993391812689700;2021-09-15;2021-09-23;$;CFIADAGB-E;0;5092007706;0;0;0;0.015
DIVIDENDO PROV US$ 0,045;2021-08-31;2021-09-22;US$;HAL;0;100000;0;0;0;0.045
DIVIDENDO PROV US$ 0,13243728;2021-09-14;2021-09-22;US$;CFIPK12F-E;0;1000000;0;0;0;0.132
DIVIDENDO PROV $ 470,11;2021-09-14;2021-09-22;$;BICECORP;0;85087030;0;0;0;470.11
DIVIDENDO EVEN $ 470,11;2021-09-14;2021-09-22;$;BICECORP;0;85087030;0;0;0;470.11
REPARTO CAPITAL $ 6953;2021-09-13;;;CFIPRMINF;0;0;0;0;0;0
REPARTO EQUIV. EN US$ A 315450 CUOTAS;2021-09-13;;;CFIPEPF3-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,05552284;2021-09-13;;;CFISEOPX-E;1000000;0;1000000;0;0;0
REPARTO CAPITAL US$ 0,0086664969;2021-09-13;;;CFICCSLP-E;0;0;0;0;0;0
DIVIDENDO US$ 1,45;2021-09-10;2021-09-21;US$;UNH;0;100000;0;0;0;1.45
DIVIDENDO PROV US$ 0,1374728;2021-09-13;2021-09-21;US$;CFIPKR12-E;0;1000000;0;0;0;0.137
DIVIDENDO PROV $ 13357;2021-09-13;2021-09-21;$;CFIPRMINF;0;1597681;0;0;0;13357
DIVIDENDO PROV US$ 0,00697765;2021-09-13;2021-09-21;US$;CFIPEPF3-E;0;10000000;0;0;0;0.007
DIVIDENDO PROV US$ 0,12889;2021-09-13;2021-09-21;US$;CFIIAMCO-E;0;10000000;0;0;0;0.129
DIVIDENDO $ 0,3715786;2021-09-13;2021-09-21;$;CFMTOEEQUB;0;10000000;0;0;0;0.372
DIVIDENDO PROV 65 US$ 0,011606;2021-09-13;2021-09-21;$;SK;0;1075000000;0;0;0;9.168
REPARTO EQUIV. EN PESOS A 13626 CUOTAS;2021-09-11;;;CFIBACHIN9;0;0;0;0;0;0
DIVIDENDO US$ 0,18;2021-08-31;2021-09-20;US$;EBAY;0;100000;0;0;0;0.18
DIVIDENDO PROV US$ 1,65;2021-09-01;2021-09-16;US$;HD;0;100000;0;0;0;1.65
REPARTO CAPITAL EURO 0,02215655013597900;2021-09-09;;;CFILVHVI-E;4151741;0;4151741;0;0;0
REPARTO CAPITAL US$ 0,9746588694;2021-09-09;;;CFICSIII-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0032371452;2021-09-09;;;CFIVEP7B-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0032101396;2021-09-09;;;CFIVEP7C-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0025968582;2021-09-09;;;CFIVEP7I-E;10000000;0;10000000;0;0;0
DIVIDENDO US$ 1,29;2021-08-31;2021-09-15;US$;MCD;0;100000;0;0;0;1.29
DIVIDENDO PROV $ 74,508686425543900;2021-09-09;2021-09-15;$;CFIDHS2-A;0;468499;0;0;0;74.509
DIVIDENDO PROV $ 1845,92;2021-09-09;2021-09-15;$;CFIBACHIN9;0;562322;0;0;0;1845.92
DIVIDENDO PROV $ 98,2056017834461;2021-09-09;2021-09-15;$;CFIDHS1;0;2248647;0;0;0;98.206
DIVIDENDO PROV EURO 0,14737307545916500;2021-09-09;2021-09-15;EURO;CFILVHVI-E;0;4151741;0;0;0;0.147
DIVIDENDO PROV $ 12,11846270203650;2021-09-09;2021-09-15;$;CFIADH3I-E;0;10000000;0;0;0;12.118
DIVIDENDO PROV $ 12,040744570837600;2021-09-09;2021-09-15;$;CFIADH3R;0;10000000;0;0;0;12.041
DIVIDENDO PROV US$ 0,8031189084;2021-09-09;2021-09-15;US$;CFICSIII-E;0;10000000;0;0;0;0.803
DIVIDENDO PROV US$ 0,033711;2021-09-09;2021-09-15;US$;CFIFYNRFPA;0;10000000;0;0;0;0.034
DIVIDENDO PROV US$ 0,034537;2021-09-09;2021-09-15;US$;CFIFYNRFPB;0;10000000;0;0;0;0.035
DIVIDENDO PROV US$ 0,0039170936;2021-09-09;2021-09-15;US$;CFIVEP7I-E;0;10000000;0;0;0;0.004
DIVIDENDO PROV US$ 0,0048421641;2021-09-09;2021-09-15;US$;CFIVEP7C-E;0;10000000;0;0;0;0.005
DIVIDENDO PROV US$ 0,0048828974;2021-09-09;2021-09-15;US$;CFIVEP7B-E;0;10000000;0;0;0;0.005
DIVIDENDO $ 0,2513281;2021-09-09;2021-09-15;$;CFMTOEEQUB;0;10000000;0;0;0;0.251
DIVIDENDO PROV 1 $ 6,64576719465582;2021-09-09;2021-09-15;$;TRICOT;0;428709497;0;0;0;6.646
DIVIDENDO PROV $ 100;2021-09-08;2021-09-14;$;CFIRESURA1;0;2000000;0;0;0;100
DIVIDENDO PROV $ 73,487265;2021-09-08;2021-09-14;$;CFISURADPU;0;10000000;0;0;0;73.487
DIVIDENDO PROV $ 488,011589;2021-09-08;2021-09-14;$;CFISURI2A;0;10000000;0;0;0;488.012
DIVIDENDO PROV $ 488,011589;2021-09-08;2021-09-14;$;CFISURI2I;0;10000000;0;0;0;488.012
DIVIDENDO PROV $ 517,9364;2021-09-08;2021-09-14;$;CFISURI3;0;10000000;0;0;0;517.936
REPARTO CAPITAL US$ 0,0096467714224566;2021-09-07;;;CFI-BCDLAE;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0097981685522519;2021-09-07;;;CFI-BDLP1E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0098744983893656;2021-09-07;;;CFI-BDLP2E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0096467714224566;2021-09-07;;;CFIBAGNA-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0097981685522519;2021-09-07;;;CFIBAGP1-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0098744983893656;2021-09-07;;;CFIBAGP2-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,05490457099231390;2021-09-07;;;CFIVSS2A-E;1000000;0;1000000;0;0;0
REPARTO CAPITAL US$ 0,0566075041504910;2021-09-07;;;CFIVSS2B-E;1000000;0;1000000;748.16;748.16;0
DIVIDENDO PROV US$ 1,48;2021-08-20;2021-09-13;US$;MMM;0;100000;0;0;0;1.48
DIVIDENDO PROV US$ 0,0759587147;2021-09-07;2021-09-13;US$;CFIARESI-E;0;1000000;0;0;0;0.076
DIVIDENDO PROV US$ 0,6405132588;2021-09-07;2021-09-13;US$;CFIARESC-E;0;1000000;0;0;0;0.641
DIVIDENDO DEF US$ 0,02986134847031490;2021-09-07;2021-09-13;US$;CFIVSS2B-E;0;1000000;0;0;0;0.03
DIVIDENDO PROV US$ 0,07075119774721590;2021-09-07;2021-09-13;US$;CFIVSS2B-E;0;1000000;0;0;0;0.071
DIVIDENDO DEF US$ 0,02896610753083890;2021-09-07;2021-09-13;US$;CFIVSS2A-E;0;1000000;0;0;0;0.029
DIVIDENDO PROV US$ 0,06863008237181770;2021-09-07;2021-09-13;US$;CFIVSS2A-E;0;1000000;0;0;0;0.069
DIVIDENDO PROV EURO 0,0083811327;2021-09-07;2021-09-13;EURO;CFIBRE6B-E;0;10000000;0;0;0;0.008
DIVIDENDO PROV EURO 0,0086479043;2021-09-07;2021-09-13;EURO;CFIBRE6C-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV EURO 0,0086471873;2021-09-07;2021-09-13;EURO;CFIBRE6I-E;0;10000000;0;0;0;0.009
DIVIDENDO PROV 5 $ 37;2021-09-07;2021-09-13;$;GASCO;0;168000000;0;0;0;37
DIVIDENDO PROV 100 US$ 0,00355;2021-09-07;2021-09-13;$;VENTANAS;0;1202879835;0;0;0;2.735
DIVIDENDO EVEN 25 $ 18;2021-09-07;2021-09-13;$;BANVIDA;0;1600065708;0;0;0;18
DIVIDENDO US$ 0,87;2021-08-12;2021-09-10;US$;XOM;0;100000;0;0;0;0.87
DIVIDENDO US$ 0,9;2021-08-17;2021-09-10;US$;TGT;0;100000;0;0;0;0.9
DIVIDENDO US$ 1,34;2021-08-18;2021-09-10;US$;CVX;0;100000;0;0;0;1.34
DIVIDENDO US$ 1,64;2021-08-09;2021-09-10;US$;IBM;0;100000;0;0;0;1.64
DIVIDENDO PROV 71 US$ 0,22;2021-09-04;2021-09-10;$;INVERCAP;0;149448112;0;0;0;168.637
REPARTO CAPITAL US$ 0,03791326;2021-09-03;;;CFIPTPG7-E;1000000;0;1000000;0;0;0
REPARTO CAPITAL US$ 0,09120208;2021-09-03;;;CFIPASP7-E;1000000;0;1000000;0;0;0
REPARTO CAPITAL $ 980,538397;2021-09-03;;;CFIFYNCPIA;0;0;0;0;0;0
REPARTO CAPITAL $ 988,83732;2021-09-03;;;CFIFYNCPIB;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0115818954;2021-09-03;;;CFILCP9A-E;10000000;0;10000000;1236.43;1236.43;0
REPARTO CAPITAL US$ 0,0119016138;2021-09-03;;;CFILCP9B-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0121428441;2021-09-03;;;CFILCP9C-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0121409368;2021-09-03;;;CFILCP9I-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0109530739;2021-09-03;;;CFILCP9R-E;10000000;0;10000000;803.63;803.63;0
DIVIDENDO US$ 1,02;2021-08-20;2021-09-09;US$;UPS;0;100000;0;0;0;1.02
DIVIDENDO US$ 0,56;2021-08-18;2021-09-09;US$;MSFT;0;100000;0;0;0;0.56
DIVIDENDO US$ 0,51;2021-08-19;2021-09-09;US$;RTX;0;100000;0;0;0;0.51
DIVIDENDO US$ 0,01;2021-08-06;2021-09-09;US$;X;0;100000;0;0;0;0.01
DIVIDENDO PROV EURO 0,01157982893675240;2021-09-03;2021-09-09;EURO;CFIVPE4A-E;0;863891;0;0;0;0.012
DIVIDENDO DEF EURO 0,06058055935297390;2021-09-03;2021-09-09;EURO;CFIVPE4A-E;0;863891;0;0;0;0.061
DIVIDENDO PROV US$ 0,04956461;2021-09-03;2021-09-09;US$;CFIPASP7-E;0;1000000;0;0;0;0.05
DIVIDENDO PROV US$ 0,19787175;2021-09-03;2021-09-09;US$;CFIPTPG7-E;0;1000000;0;0;0;0.198
DIVIDENDO $ 0,8695084;2021-09-08;2021-09-09;$;CFMESGIPSA;0;2500000;0;0;0;0.87
DIVIDENDO PROV $ 41,79619813341510;2021-09-03;2021-09-09;$;CFIDEU2A-E;0;5709143;0;0;0;41.796
DIVIDENDO DEF $ 40,24063296365150;2021-09-03;2021-09-09;$;CFIDEU2A-E;0;5709143;0;0;0;40.241
DIVIDENDO $ 0,2908605;2021-09-08;2021-09-09;$;CFMDIVO;0;5880000;0;0;0;0.291
DIVIDENDO PROV EURO 0,00862618429517192;2021-09-03;2021-09-09;EURO;CFIVPE4E-E;0;7806542;0;0;0;0.009
DIVIDENDO DEF EURO 0,04512839231506090;2021-09-03;2021-09-09;EURO;CFIVPE4E-E;0;7806542;0;0;0;0.045
DIVIDENDO PROV EURO 0,03178937036956280;2021-09-03;2021-09-09;EURO;CFIVCDLC-E;0;10000000;0;0;0;0.032
DIVIDENDO PROV $ 42,18524490553550;2021-09-03;2021-09-09;$;CFIDEU2B-E;0;10000000;0;0;0;42.185
DIVIDENDO DEF $ 40,61520045395070;2021-09-03;2021-09-09;$;CFIDEU2B-E;0;10000000;0;0;0;40.615
DIVIDENDO PROV US$ 0,0304365717;2021-09-03;2021-09-09;US$;CFILCP9R-E;0;10000000;0;0;0;0.03
DIVIDENDO PROV US$ 0,0337375249;2021-09-03;2021-09-09;US$;CFILCP9I-E;0;10000000;0;0;0;0.034
DIVIDENDO PROV US$ 0,0337428259;2021-09-03;2021-09-09;US$;CFILCP9C-E;0;10000000;0;0;0;0.034
DIVIDENDO PROV US$ 0,0330724924;2021-09-03;2021-09-09;US$;CFILCP9B-E;0;10000000;0;0;0;0.033
DIVIDENDO PROV US$ 0,0321840344;2021-09-03;2021-09-09;US$;CFILCP9A-E;0;10000000;0;0;0;0.032
DIVIDENDO PROV $ 5,387399135;2021-09-03;2021-09-09;$;CFIHMCRGPB;0;10000000;0;0;0;5.387
DIVIDENDO PROV $ 5,533;2021-09-03;2021-09-09;$;CFIHMCRGPI;0;10000000;0;0;0;5.533
DIVIDENDO $ 0,93218;2021-09-08;2021-09-09;$;CFMEURC18D;0;10000000;0;0;0;0.932
DIVIDENDO $ 0,78967;2021-09-08;2021-09-09;$;CFMEURCHCE;0;10000000;0;0;0;0.79
DIVIDENDO $ 0,5543407;2021-09-03;2021-09-09;$;CFMTOEEQUB;0;10000000;0;0;0;0.554
DIVIDENDO PROV EURO 0,01189883711262290;2021-09-03;2021-09-09;EURO;CFIVPE4C-E;0;13422452;0;0;0;0.012
DIVIDENDO DEF EURO 0,06224946455386840;2021-09-03;2021-09-09;EURO;CFIVPE4C-E;0;13422452;0;0;0;0.062
DIVIDENDO PROV EURO 0,0118511546053030;2021-09-03;2021-09-09;EURO;CFIVPE4B-E;0;13626085;0;0;0;0.012
DIVIDENDO DEF EURO 0,06200001320995720;2021-09-03;2021-09-09;EURO;CFIVPE4B-E;0;13626085;0;0;0;0.062
DIVIDENDO PROV EURO 0,01193439535958720;2021-09-03;2021-09-09;EURO;CFIVPE4D-E;0;19785826;0;0;0;0.012
DIVIDENDO DEF EURO 0,06243549043643670;2021-09-03;2021-09-09;EURO;CFIVPE4D-E;0;19785826;0;0;0;0.062
DIVIDENDO PROV US$ 0,034938808;2021-09-03;2021-09-09;US$;CFIPEIA;0;28987979;0;0;0;0.035
DIVIDENDO $ 2,95592604;2021-09-08;2021-09-09;$;CFMITNIPSA;0;37360000;0;0;0;2.956
DIVIDENDO PROV 75 US$ 0,31439;2021-09-03;2021-09-09;$;SQM-B;0;142818904;0;0;0;243.696
DIVIDENDO PROV 75 US$ 0,31439;2021-09-03;2021-09-09;$;SQM-A;0;142819552;0;0;0;243.696
DIVIDENDO PROV US$ 0,035014614;2021-09-03;2021-09-09;US$;CFIPEIB;0;169246049;0;0;0;0.035
DIVIDENDO PROV US$ 0,0188817986;2021-09-03;2021-09-09;US$;CFINHPTN-E;0;700000000;0;0;0;0.019
DIVIDENDO PROV US$ 7,852443;2021-09-03;2021-09-09;US$;CFIMOPE1-E;0;700000000;0;0;0;7.852
REPARTO CAPITAL US$ 0,00425804120425524;2021-09-02;;;CFILVLEQ-E;10000000;0;10000000;263.16;263.16;0
REPARTO CAPITAL US$ 0,0044037649;2021-09-02;;;CFIPE16A-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0059218714;2021-09-02;;;CFIPE16B-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0071693314;2021-09-02;;;CFIPE16C-E;10000000;0;10000000;0;0;0
REPARTO EQUIV. EN US$ A 2732055 CUOTAS;2021-09-02;;;CFIPHVD9-E;0;0;0;0;0;0
REPARTO CAPITAL US$ 0,0062187437;2021-09-02;;;CFICPE10-E;1000000;0;1000000;0;0;0
DIVIDENDO US$ 0,1272;2021-09-01;2021-09-08;US$;EMLC;0;50000;0;0;0;0.127
DIVIDENDO US$ 0,012808;2021-09-01;2021-09-08;US$;SHY;0;100000;0;0;0;0.013
DIVIDENDO US$ 0,896202;2021-09-01;2021-09-08;US$;TIP;0;100000;0;0;0;0.896
DIVIDENDO US$ 0,0725;2021-09-01;2021-09-08;US$;EMAG;0;100000;0;0;0;0.073
DIVIDENDO US$ 1,76;2021-08-16;2021-09-08;US$;AMGN;0;100000;0;0;0;1.76
DIVIDENDO US$ 0,275083;2021-09-01;2021-09-08;US$;HYG;0;100000;0;0;0;0.275
DIVIDENDO US$ 0,234069;2021-09-01;2021-09-08;US$;LQD;0;100000;0;0;0;0.234
DIVIDENDO US$ 0,201605;2021-09-01;2021-09-08;US$;TLH;0;1000000;0;0;0;0.202
DIVIDENDO US$ 0,189348;2021-09-01;2021-09-08;US$;TLT;0;1000000;0;0;0;0.189
DIVIDENDO US$ 0,173235;2021-09-01;2021-09-08;US$;SHYG;0;1000000;0;0;0;0.173
DIVIDENDO US$ 0,058417;2021-09-01;2021-09-08;US$;SLQD;0;1000000;0;0;0;0.058
DIVIDENDO US$ 0,167395;2021-09-01;2021-09-08;US$;AGG;0;1000000;0;0;0;0.167
DIVIDENDO US$ 0,347547;2021-09-01;2021-09-08;US$;EMB;0;1000000;0;0;0;0.348
DIVIDENDO PROV US$ 0,0212834765;2021-09-02;2021-09-08;US$;CFICPE10-E;0;1000000;0;0;0;0.021
DIVIDENDO US$ 0,080411;2021-09-01;2021-09-08;US$;IEF;0;1000000;0;0;0;0.08
DIVIDENDO US$ 0,079001;2021-09-01;2021-09-08;US$;IEI;0;1000000;0;0;0;0.079
DIVIDENDO US$ 0,015467;2021-09-01;2021-09-08;US$;FLOT;0;1000000;0;0;0;0.015
DIVIDENDO $ 0,1382144;2021-09-03;2021-09-08;$;CFMESGIPSA;0;2500000;0;0;0;0.138
DIVIDENDO PROV US$ 0,013939418;2021-09-02;2021-09-08;US$;CFIAMG2A-E;0;2503436;0;0;0;0.014
DIVIDENDO DEF US$ 0,02627855593734890;2021-09-02;2021-09-08;US$;CFIPES1A-E;0;3145099;0;0;0;0.026
DIVIDENDO $ 0,0249602;2021-09-03;2021-09-08;$;CFMDIVO;0;5880000;0;0;0;0.025
DIVIDENDO PROV US$ 0,014422162;2021-09-02;2021-09-08;US$;CFIAMG2I-E;0;6663598;0;0;0;0.014
DIVIDENDO PROV US$ 0,0188481279;2021-09-02;2021-09-08;US$;CFIPE16C-E;0;10000000;0;0;0;0.019
DIVIDENDO PROV US$ 0,0155685624;2021-09-02;2021-09-08;US$;CFIPE16B-E;0;10000000;0;0;0;0.016
DIVIDENDO PROV US$ 0,0115774651;2021-09-02;2021-09-08;US$;CFIPE16A-E;0;10000000;0;0;0;0.012
DIVIDENDO PROV $ 2,175229758;2021-09-02;2021-09-08;$;CFIASPCP-E;0;10000000;0;0;0;2.175
DIVIDENDO PROV $ 3,662895822;2021-09-02;2021-09-08;$;CFIASPLP-E;0;10000000;0;0;0;3.663
DIVIDENDO PROV $ 2,587497372;2021-09-02;2021-09-08;$;CFIAGACP-E;0;10000000;0;0;0;2.587
DIVIDENDO PROV $ 4,146317566;2021-09-02;2021-09-08;$;CFIAGALP-E;0;10000000;0;0;0;4.146
DIVIDENDO PROV US$ 0,2185205055967060;2021-09-02;2021-09-08;US$;CFILVBCP-E;0;30158642;0;0;0;0.219
DIVIDENDO $ 0,44710343;2021-09-03;2021-09-08;$;CFMITNIPSA;0;37360000;0;0;0;0.447
DIVIDENDO DEF US$ 0,02805264602545430;2021-09-02;2021-09-08;US$;CFIPES1B-E;0;52378351;0;0;0;0.028
DIVIDENDO PROV 322 $ 100;2021-09-02;2021-09-08;$;VOLCAN;0;75000000;0;0;0;100
DIVIDENDO PROV US$ 0,02166807;2021-09-02;2021-09-08;US$;CFIPHVD9-E;0;95813382;0;0;0;0.022
DIVIDENDO DEF US$ 0,00494246410086583;2021-09-02;2021-09-08;US$;CFIPES2A-E;0;403240157;0;0;0;0.005
REPARTO CAPITAL US$ 0,02190147;2021-09-01;;;CFIPICWP-E;400000000;0;400000000;0;0;0
REPARTO CAPITAL US$ 2,0326553534;2021-09-01;;;CFICGPE5-E;3000000;0;3000000;0;0;0
REPARTO CAPITAL US$ 0,0071976125;2021-09-01;;;CFICGPE7-E;300000000;0;300000000;0;0;0
REPARTO CAPITAL US$ 0,0036852479;2021-09-01;;;CFICGPEP-E;72927389;0;72927389;0;0;0
DIVIDENDO US$ 0,55;2021-08-12;2021-09-07;US$;WMT;0;100000;0;0;0;0.55
DIVIDENDO PROV US$ 0,39;2021-07-29;2021-09-07;US$;PFE;0;100000;0;0;0;0.39
DIVIDENDO US$ 1,06;2021-08-23;2021-09-07;US$;JNJ;0;100000;0;0;0;1.06
DIVIDENDO PROV $ 6605,1141;2021-09-01;2021-09-07;$;CFIWEG-1;0;1000000;0;0;0;6605.114
DIVIDENDO PROV US$ 5,6089061428;2021-09-01;2021-09-07;US$;CFICGPE5-E;0;3000000;0;0;0;5.609
DIVIDENDO PROV $ 2,288;2021-09-01;2021-09-07;$;CFIWEG-3;0;10000000;0;0;0;2.288
DIVIDENDO PROV US$ 0,0109970551;2021-09-01;2021-09-07;US$;CFICGPEP-E;0;72927389;0;0;0;0.011
DIVIDENDO PROV US$ 0,0246828680;2021-09-01;2021-09-07;US$;CFICGPE7-E;0;300000000;0;0;0;0.025
DIVIDENDO PROV US$ 0,00432039;2021-09-01;2021-09-07;US$;CFIPICWP-E;0;400000000;0;0;0;0.004
DIVIDENDO PROV EURO 0,0319505408;2021-08-31;2021-09-06;EURO;CFIPE14A-E;0;814974;0;0;0;0.032
DIVIDENDO PROV EURO 0,0326687357;2021-08-31;2021-09-06;EURO;CFIPE14B-E;0;4533465;0;0;0;0.033
DIVIDENDO PROV EURO 0,0331921420;2021-08-31;2021-09-06;EURO;CFIPE14C-E;0;39682843;0;0;0;0.033
DIVIDENDO PROV $ 0,3997;2021-08-31;2021-09-06;$;CFIBTGCYFI;0;180592296;0;0;0;0.4
DIVIDENDO PROV 28 $ 10,26548;2021-08-31;2021-09-06;$;SONDA;0;871057175;0;0;0;10.265
DIVIDENDO PROV $ 0,38;2021-08-31;2021-09-06;$;CFIBTGCYFA;0;1150362358;0;0;0;0.38
DIVIDENDO PROV US$ 0,93;2021-08-12;2021-09-03;US$;HON;0;100000;0;0;0;0.93
REPARTO CAPITAL US$ 0,0116108532;2021-08-27;;;CFIPCRDA-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0172945224;2021-08-27;;;CFIPCRDB-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0178119747;2021-08-27;;;CFIPCRDC-E;10000000;0;10000000;0;0;0
REPARTO CAPITAL US$ 0,0176941660;2021-08-27;;;CFIPCRDP-E;10000000;0;10000000;0;0;0
